year,city,budget,population,province,autonomous_region
2010,Albacete,173159214.03,171390,Albacete,Castilla-La Mancha
2010,Alicante/Alacant,291302104.18,334329,Alicante/Alacant,Comunidad Valenciana
2010,Almería,231991331.66,190349,Almería,Andalucía
2010,Ávila,65024099.56,59008,Ávila,Castilla y León
2010,Badajoz,111495580.64,151565,Badajoz,Extremadura
2010,Barcelona,2737113621.8799996,1615448,Barcelona,Cataluña
2010,Bilbao,526838691.0,352700,Bizkaia,País Vasco
2010,Burgos,245610132.32,179251,Burgos,Castilla y León
2010,Cáceres,90176871.37,95026,Cáceres,Extremadura
2010,Cádiz,211017696.41,124892,Cádiz,Andalucía
2010,Castellón de la Plana/Castelló de la Plana,191534295.31,180114,Castellón/Castelló,Comunidad Valenciana
2010,Ciudad Real,85881732.0,74798,Ciudad Real,Castilla-La Mancha
2010,Córdoba,353856259.57,328659,Córdoba,Andalucía
2010,"Coruña, A",215660200.00000003,246028,"Coruña, A",Galicia
2010,Cuenca,63830827.17999999,56703,Cuenca,Castilla-La Mancha
2010,Donostia/San Sebastián,336030698.16,186185,Gipuzkoa,País Vasco
2010,Girona,99378055.00000001,96722,Girona,Cataluña
2010,Granada,317293456.85,240099,Granada,Andalucía
2010,Guadalajara,76739315.03,84453,Guadalajara,Castilla-La Mancha
2010,Huelva,188269423.08,148918,Huelva,Andalucía
2010,Huesca,53992357.06999999,52443,Huesca,Aragón
2010,Jaén,245011585.31,116781,Jaén,Andalucía
2010,León,178305280.98,132744,León,Castilla y León
2010,Lleida,189376701.92000002,138416,Lleida,Cataluña
2010,Logroño,168326000.0,152641,"Rioja, La",La Rioja
2010,Lugo,92348387.78999999,98007,Lugo,Galicia
2010,Madrid,5279623775.0,3265038,Madrid,Comunidad de Madrid
2010,Málaga,739732663.02,568030,Málaga,Andalucía
2010,Murcia,480144937.0,442203,Murcia,Región de Murcia
2010,Ourense,111721476.99999999,108002,Ourense,Galicia
2010,Oviedo,212438000.0,225391,Asturias,Principado de Asturias
2010,Palencia,96820159.94999999,81552,Palencia,Castilla y León
2010,Palma de Mallorca,473249275.66,405318,"Balears, Illes",Baleares
2010,"Palmas de Gran Canaria, Las",312037707.49,383343,"Palmas, Las",Canarias
2010,Pamplona/Iruña,307295546.0,197932,Navarra,Comunidad Foral de Navarra
2010,Pontevedra,66219600.0,82400,Pontevedra,Galicia
2010,Salamanca,171904190.13,153472,Salamanca,Castilla y León
2010,Santa Cruz de Tenerife,209448910.12,222271,Santa Cruz de Tenerife,Canarias
2010,Santander,202141424.92,179921,Cantabria,Cantabria
2010,Segovia,86792821.0,55220,Segovia,Castilla y León
2010,Sevilla,928913127.6500001,703021,Sevilla,Andalucía
