"origin","destiny","sex","age","accepted_total","rejected_total","total","predict2015"
"Afganistán","Alemania","Hombres","14 a 17",2140,1800,3940,0.7374
"Albania","Alemania","Hombres","14 a 17",10,110,120,0.1971
"Algeria","Alemania","Hombres","14 a 17",0,160,160,0.1186
"Angola","Alemania","Hombres","14 a 17",0,10,10,0.3313
"Apátrida","Alemania","Hombres","14 a 17",55,20,75,0.8669
"Armenia","Alemania","Hombres","14 a 17",5,80,85,0.1763
"Azerbaijan","Alemania","Hombres","14 a 17",20,85,105,0.3615
"Bangladesh","Alemania","Hombres","14 a 17",0,35,35,0.2071
"Benin","Alemania","Hombres","14 a 17",0,15,15,0.2392
"Bielorrusia","Alemania","Hombres","14 a 17",0,25,25,0.3423
"Bosnia y Herzegovina","Alemania","Hombres","14 a 17",0,495,495,0.0762
"Camboya","Alemania","Hombres","14 a 17",0,5,5,0.4222
"Camerún","Alemania","Hombres","14 a 17",0,10,10,0.4379
"China (incluye Hong Kong)","Alemania","Hombres","14 a 17",0,10,10,0.4567
"Costa de Marfil","Alemania","Hombres","14 a 17",0,15,15,0.4557
"Desconocido","Alemania","Hombres","14 a 17",165,240,405,0.5629
"Egipto","Alemania","Hombres","14 a 17",5,110,115,0.4376
"Eritrea","Alemania","Hombres","14 a 17",205,5,210,0.9119
"Etiopía","Alemania","Hombres","14 a 17",10,45,55,0.6058
"Gambia","Alemania","Hombres","14 a 17",0,35,35,0.3278
"Georgia","Alemania","Hombres","14 a 17",0,75,75,0.0836
"Ghana","Alemania","Hombres","14 a 17",0,15,15,0.3297
"Guinea","Alemania","Hombres","14 a 17",30,165,195,0.5344
"Guinea-Bissau","Alemania","Hombres","14 a 17",0,5,5,0.3654
"India","Alemania","Hombres","14 a 17",0,130,130,0.058
"Irán","Alemania","Hombres","14 a 17",260,190,450,0.7565
"Iraq","Alemania","Hombres","14 a 17",1150,625,1775,0.817
"Kenya","Alemania","Hombres","14 a 17",0,10,10,0.2681
"Kosovo","Alemania","Hombres","14 a 17",5,445,450,0.1344
"Kyrgyzstan","Alemania","Hombres","14 a 17",0,5,5,0.2352
"Líbano","Alemania","Hombres","14 a 17",0,130,130,0.2052
"Libia","Alemania","Hombres","14 a 17",5,5,10,0.5219
"Macedonia","Alemania","Hombres","14 a 17",0,1005,1005,0.0128
"Marruecos","Alemania","Hombres","14 a 17",0,85,85,0.1587
"Montenegro","Alemania","Hombres","14 a 17",0,70,70,0.0296
"Myanmar/Burma","Alemania","Hombres","14 a 17",10,0,10,0.8157
"Nepal","Alemania","Hombres","14 a 17",0,5,5,0.2733
"Nigeria","Alemania","Hombres","14 a 17",5,105,110,0.2405
"Pakistán","Alemania","Hombres","14 a 17",45,145,190,0.3466
"Rep. Dem. Congo","Alemania","Hombres","14 a 17",5,10,15,0.4176
"Rusia","Alemania","Hombres","14 a 17",65,515,580,0.3728
"Senegal","Alemania","Hombres","14 a 17",0,10,10,0.3562
"Serbia","Alemania","Hombres","14 a 17",0,2180,2180,0.0633
"Sierra Leona","Alemania","Hombres","14 a 17",0,25,25,0.4965
"Siria","Alemania","Hombres","14 a 17",1385,150,1535,0.9519
"Somalia","Alemania","Hombres","14 a 17",340,110,450,0.858
"Sri Lanka","Alemania","Hombres","14 a 17",60,20,80,0.5677
"Sudán","Alemania","Hombres","14 a 17",0,5,5,0.7341
"Tajikistán","Alemania","Hombres","14 a 17",5,10,15,0.2613
"Túnez","Alemania","Hombres","14 a 17",0,30,30,0.079
"Turquía","Alemania","Hombres","14 a 17",65,160,225,0.3494
"Uganda","Alemania","Hombres","14 a 17",0,5,5,0.6787
"Uzbekistán","Alemania","Hombres","14 a 17",0,5,5,0.3499
"Vietnam","Alemania","Hombres","14 a 17",0,235,235,0.1579
"Afganistán","Austria","Hombres","14 a 17",1080,985,2065,0.7753
"Albania","Austria","Hombres","14 a 17",0,5,5,0.2316
"Algeria","Austria","Hombres","14 a 17",0,140,140,0.1419
"Apátrida","Austria","Hombres","14 a 17",20,20,40,0.8889
"Armenia","Austria","Hombres","14 a 17",5,65,70,0.2082
